:T
:T Lines.dat: Version compatible with FASTWIND data set 
:T
:T Notes: 
:T      i. Oscillator strengths are gij fj/Sum(gi), check for consistency
:T         required
:T     ii. Last two columns correspond to Number of line and Sum(gi) 
:T     iii. Wavelengths are wavelengths in air
:T     iv. Both damping constants are divided by 4pi 
:T      v. The multiplet is identified by the NIST database number. 
:T     vi. Radiative lifetimes from VALD/NIST databases
:T    vii. Collisional damping from VALD or according to Cowly (1971)
:T
:T ********************************************************************
:T 
:T OII-III
:T
:T Miguel A. Urbaneja
:T Last revision: April 2007
:T
:T *******************************************************************
:T  
:T *******************************************************************
:T         OXYGEN   OII OIII
:T *******************************************************************       
:T
     CL  TY  RBB  2  7  RBB
:T Jan 2020
 O2010  O2023  10 3875.810  .00064  2.24E+8  0.0    0.0    5.08E-7    20. 
 O2019  O2048  3  4054.069   2.15E-3  3.64E7    0.    0.    8.52E-7     28.
:T Check radiative damping
 O2020  O2045  1  4291.270   0.049    1.00E8    0.    0.    9.10E-7     12. 
 O2024  O2043  1  4489.285    .1485   1.00E8    0.    0.    9.67E-7      6. 
 O2024  O2043  2  4489.467    .0174   1.00E8    0.    0.    9.67E-7      6. 
 O2019  O2044  1  4107.082   0.02471  1.00E7    0.    0.    8.59E-7     28. 
 O2025  O2046  1  4677.065   0.01549  1.00E7    0.    0.    1.02E-6     10.
 O2018  O2036  1  4192.512   0.03917  1.00E8    0.    0.    8.41E-7     10.
:T 
 O2013  O2024  1  4579.269   4.75E-3  1.26E8    0.    0.    6.28E-7     10. 
  0
 CL  TY  RBB  2  7  RBB
  O3018  O3021  71  5508.24  0.0482   0.   0.   0.  3.99E-8 5.
  O3028  O3031  71  7710.95  0.0207   0.   0.   0.  3.99E-8 9.
:T
  O3011  O3013  1  5592.37   .1534     0.       0.    0.    3.99E-8      3. :T changed wavel. & oscill. (Alicia, May 2021)
  O3018  O3024  1  3961.59   .4121     0.       0.    0.    3.99E-8      5. :T changed wavel. & oscill. (Alicia, May 2021)
  O3010  O3014  1  3754.67   .08846    1.00E7   0.    0.    4.32E-7      9.  
  O3010  O3014  2  3757.21   .03924    1.00E7   0.    0.    4.32E-7      9.  
  O3010  O3014  3  3759.87   .16134    1.00E7   0.    0.    4.32E-7      9.  
:T July 2008   
  O3026  O3032  1  3709.543  .01563    1.00E7   0.    0.    7.619E-7    15. 
  O3026  O3032  2  3712.493  .04507    1.00E7   0.    0.    7.619E-7    15. 
  O3017  O3022  1  3715.086  .15659    1.00E7   0.    0.    5.377E-7     9. 
  O3010  O3014  4  3774.026  .02785    1.00E7   0.    0.    4.320E-7     9.     
:T
  O3010  O3014  5  3791.260  .03595    1.00E7   0.    0.    4.370E-7     9. 
  O3010  O3014  6  3810.985  .00286    1.00E7   0.    0.    4.370E-7     9.    
:T
  O3028  O3040  1  4073.984  .0628    0.   0.    0.     3.99E-8      9. 
  O3028  O3040  2  4081.020  .1169    0.   0.    0.     3.99E-8      9. 
  O3028  O3040  3  4072.643  .0280    0.   0.    0.     3.99E-8      9. 
  O3028  O3040  4  4089.29   .0208    0.   0.    0.     3.99E-8      9. :T changed oscill. (Alicia, May 2021)
  O3028  O3040  5  4103.066  .02079    1.00E8   0.    0.    9.49E-7      9.   
:T 
  O2010  O2020  1  3907.4445 .00594    3.17E8   0.    0.    5.106E-7    20. 
  O2010  O2020  2  3864.121  7.23E-4   3.17E8   0.    0.    5.056E-7    20.   
  O2010  O2020  3  3926.570  3.46E-3   3.17E8   0.    0.    5.140E-7    20. 
:T
:T Aug 2008, intercombination lines, from Kurucz
  O2010  O2023  1  3843.595  1.4756E-3 2.24E8   0.    0.    5.032E-7    20.  
  O2010  O2023  2  3851.472  1.9814E-3 2.24E8   0.    0.    5.032E-7    20.  
